sku,name,category,brand,price,price_usd,socket,tdp,score,vram,length_mm,height_mm,watt,memory_type,form_factor,capacity_gb,efficiency,source_site,source_url,item_sku,cpu_socket,mb_socket,mb_form_factor,gpu_length_mm,case_max_gpu_length_mm,case_max_cpu_cooler_height_mm,monitor_resolution,monitor_refresh_hz,storage_interface,storage_form_factor,pcie_version,specs_json
newegg-Case-12776571288,Fractal Design North ATX mATX Mid Tower PC Case - Charcoal Black Chassis with Walnut Front and Mesh Side Panel,case,Fractal,1064,147.78,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/fractal-design-atx-mid-tower-steel-case-charcoal-black-fd-c-nor1c-01/p/N82E16811352203,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""atx chassis"", ""query_page"": 1, ""feature_map"": {""Model #"": ""FD-C-NOR1C-01""}, ""feature_lines_raw"": [""Model #: FD-C-NOR1C-01""], ""compatibility_params"": {""supported_mb_form_factor"": ""ATX""}}"
newegg-Case-12974559285,Fractal Design Pop XL Air RGB Black TG ATX High-Airflow Clear Tempered Glass Window Full Tower Computer Case,case,Fractal,822,114.17,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/fractal-design-atx-full-tower-pop-xl-air-rgb-steel-tempered-glass-computer-case-black/p/N82E16811352180,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""FD-C-POR1X-06""}, ""feature_lines_raw"": [""Model #: FD-C-POR1X-06""], ""compatibility_params"": {}}"
newegg-Case-132681194154,"LIAN LI LANCOOL 207 Compact ATX RGB Gaming Computer Case, Tower Chassis w/ 2x140mm  ARGB,2x120mm PWM Fans Pre-Installed, reinventing ATX Layout / Tempered Glass Side Panel (Black) --- LANCOOL 207RX",case,LIAN,567,78.75,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/lian-li-atx-mid-tower-steel-4-0mm-tempered-glass-cases-black-lancool-207/p/2AM-000Z-000D6,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""LANCOOL 207 Black""}, ""feature_lines_raw"": [""Model #: LANCOOL 207 Black""], ""compatibility_params"": {}}"
newegg-Case-133965570329,"DIYPC DIY-ATX08-Wood Black USB3.0 /Type C ATX Mid Tower Gaming Computer Case w/ Tempered Glass Side Panel and Walnut Wood Front Panel, 4 x 120mm PWM Fans Pre-Installed",case,DIYPC,511,70.97,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/diypc-atx-mid-tower-steel-tempered-glass-cases-black-diy-atx08-wood/p/N82E16811353271,,,,,0,120,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""DIY-ATX08-Wood""}, ""feature_lines_raw"": [""Model #: DIY-ATX08-Wood""], ""compatibility_params"": {""supported_mb_form_factor"": ""ATX"", ""max_gpu_length_mm"": 120}}"
newegg-Case-140132117995,"Montech AIR 903 MAX, E-ATX Mid Tower Case, High Airflow, 3x 140mm ARGB PWM & 1x 140mm PWM Fans Pre-installed, Tempered Glass Side Panel, Mesh Front, TYPE-C, Support 4090 GPUs, Black",case,Montech,615,85.42,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/montech-e-atx-mid-tower-chassis-air-903-max-cases-black/p/2AM-00CN-00059,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""AIR 903 MAX (B)""}, ""feature_lines_raw"": [""Model #: AIR 903 MAX (B)""], ""compatibility_params"": {}}"
newegg-Case-143435121218,"Antec NX200M Micro-ATX Tower, Mini-Tower Computer Case with 120mm Rear Fan Pre-Installed, Mesh Design in Front Panel Ventilated Airflow, NX Series, Black",case,Antec,269,37.36,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/antec-micro-atx-tower-steel-plastic-tempered-glass-cases-black-nx200m/p/2AM-000V-001D4,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""NX200M""}, ""feature_lines_raw"": [""Model #: NX200M""], ""compatibility_params"": {}}"
newegg-Case-166869919736,"Super Flower Zillion Direct ATX Mid Tower Case, Patent Slope For Direct Airflow To GPU, All Mesh Panel Design for High Airflow Performance, USB 3.0 & Type-C, Black, Steel",case,Super,615,85.42,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/super-flower-atx-mid-tower-steel-plastic-cases-black-zillion-direct/p/2AM-05K7-00003?Item=9SIAMNPKEA0027&cm_sp=SP-_-1061889-_-0-_-2-_-9SIAMNPKEA0027-_-computer case atx-_-atx|case-_-14,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""SF-D202-Nfan-BK""}, ""feature_lines_raw"": [""Model #: SF-D202-Nfan-BK""], ""compatibility_params"": {}}"
newegg-Case-167187369624,"Super Flower Zillion Direct ATX Mid Tower Case, Patent Slope For Direct Airflow To GPU, All Mesh Panel Design for High Airflow Performance, USB 3.0 & Type-C, White, Steel",case,Super,684,95.00,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/super-flower-atx-mid-tower-steel-plastic-cases-white-zillion-direct/p/2AM-05K7-00004?Item=9SIAMNPKEA0028&cm_sp=SP-_-1061889-_-0-_-2-_-9SIAMNPKEA0028-_-computer case atx-_-atx|case-_-11,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""SF-D202-Nfan-WH""}, ""feature_lines_raw"": [""Model #: SF-D202-Nfan-WH""], ""compatibility_params"": {}}"
newegg-Case-187686512201,Fractal Design Define 7 Compact Black Brushed Aluminum/Steel ATX Compact Silent Mid Tower Computer Case,case,Fractal,857,119.03,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/fractal-design-atx-mid-tower-define-7-compact-steel-computer-case-black-fd-c-def7c-01/p/N82E16811352126,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""atx chassis"", ""query_page"": 1, ""feature_map"": {""Model #"": ""FD-C-DEF7C-01""}, ""feature_lines_raw"": [""Model #: FD-C-DEF7C-01""], ""compatibility_params"": {""supported_mb_form_factor"": ""ATX""}}"
newegg-Case-197406699558,"Super Flower Zillion Direct ATX Mid Tower Case, Patent Slope For Direct Airflow To GPU, All Mesh Panel Design for High Airflow Performance, USB 3.0 & Type-C, Black, Steel",case,Super,615,85.42,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/super-flower-atx-mid-tower-steel-plastic-cases-black-zillion-direct/p/2AM-05K7-00003?Item=9SIAMNPKEA0027&cm_sp=SP-_-1061889-_-0-_-2-_-9SIAMNPKEA0027-_-computer case atx-_-atx|case-_-14,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""SF-D202-Nfan-BK""}, ""feature_lines_raw"": [""Model #: SF-D202-Nfan-BK""], ""compatibility_params"": {}}"
newegg-Case-206374489046,COUGAR MX220 RGB Mid-Tower ATX PC Case  Optimized AIrflow  4X 120mm ARGB  Fans Pre-Installed & 360mm Radiator Support  Max. GPU Length 340mm  PWM Fan Hun Included  USB Type-C Port (White),case,COUGAR,477,66.25,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/p/2AM-0023-000T7?Item=9SIB5SCKHT9367&cm_sp=SP-_-1632131-_-0-_-2-_-9SIB5SCKHT9367-_-computer case atx-_-atx|case-_-17,,,,,0,120,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""MX220 RGB White""}, ""feature_lines_raw"": [""Model #: MX220 RGB White""], ""compatibility_params"": {""supported_mb_form_factor"": ""ATX"", ""max_gpu_length_mm"": 120}}"
newegg-Case-207133643765,Fractal Design North ATX mATX Mid Tower PC Case - North Charcoal Black with Walnut Front and Dark Tinted TG Side Panel,case,Fractal,1064,147.78,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/fractal-design-atx-mid-tower-north-steel-case-charcoal-black-fd-c-nor1c-02/p/N82E16811352204,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""FD-C-NOR1C-02""}, ""feature_lines_raw"": [""Model #: FD-C-NOR1C-02""], ""compatibility_params"": {}}"
newegg-Case-207593172206,"SAMA V50 Black Mid Tower PC Case, 4x120mm ARGB PWM Fan Pre-Install for Efficient Cooling, Compatible ATX/MATX/ITX Motherboards and Back-Connect Design Supports 360mm Water Cooling and 40 Series GPU",case,SAMA,580,80.56,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/sama-atx-mid-tower-v50-series-spcc-tempered-glass-cases-v50-black/p/2AM-009W-00091,,,,,0,120,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""mid tower case"", ""query_page"": 1, ""feature_map"": {""Model #"": ""V50-BKADA4X1-GL""}, ""feature_lines_raw"": [""Model #: V50-BKADA4X1-GL""], ""compatibility_params"": {""supported_mb_form_factor"": ""ATX"", ""max_gpu_length_mm"": 120}}"
newegg-Case-210028667974,Fractal Design Focus G Black ATX Mid Tower Computer Case,case,Fractal,407,56.53,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/fractal-design-atx-mid-tower-focus-g-steel-plastic-computer-case-black-fd-ca-focus-bk-w/p/N82E16811352069,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""computer case atx"", ""query_page"": 1, ""feature_map"": {""Model #"": ""FD-CA-FOCUS-BK-W""}, ""feature_lines_raw"": [""Model #: FD-CA-FOCUS-BK-W""], ""compatibility_params"": {""supported_mb_form_factor"": ""ATX""}}"
newegg-Case-220967726640,Micro ATX Case PC Case: MATX Case Mini PC ITX Desktop Computer Case Support Micro ATX MATX ITX Mini PC,case,Micro,242,33.61,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/utlgameng-mini-tower-plastic-cases-computer-cases-atx-form/p/2AM-05KX-00001?Item=9SIC25VKKC3974&cm_sp=SP-_-2979276-_-0-_-3-_-9SIC25VKKC3974-_-atx chassis-_-atx|chassis-_-15,,,,,0,0,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""atx chassis"", ""query_page"": 1, ""feature_map"": {""Model #"": ""F2""}, ""feature_lines_raw"": [""Model #: F2""], ""compatibility_params"": {""supported_mb_form_factor"": ""ATX, Micro ATX""}}"
newegg-Case-221576261539,"Zalman T8 ATX Mid-Tower Gaming PC Case, Spectrum RGB Lighting Strip, Support 5.25 ODD Drive, 120mm Rear Fan Preinstalled, USB 3.0, Compact ATX / mATX Gaming Chassis, Black",case,Zalman,331,45.97,,0,0,0,0,0,0,,,0,,newegg,https://www.newegg.com/zalman-atx-mid-tower-steel-plastic-cases-black-t8/p/2AM-0022-00083,,,,,0,120,0,,,,,,"{""source"": ""newegg_search"", ""query_keyword"": ""pc case"", ""query_page"": 1, ""feature_map"": {""Model #"": ""T8""}, ""feature_lines_raw"": [""Model #: T8""], ""compatibility_params"": {""supported_mb_form_factor"": ""ATX"", ""max_gpu_length_mm"": 120}}"
